Entity,Code,Year,Agriculture,Land-use change and forestry,Waste,Industry,Manufacturing and construction,Transport,Electricity and heat,Buildings,Fugitive emissions,Other fuel combustion,Aviation and shipping
Afghanistan,AFG,2016,15319999.694824219,150000.00596046448,3369999.885559082,790000.0214576721,930000.0071525574,4179999.828338623,79999.99821186066,39999.99910593033,2190000.057220459,0,39999.99910593033
Afghanistan,AFG,2017,15220000.267028809,150000.00596046448,3450000.047683716,910000.0262260437,920000.0166893005,3599999.9046325684,79999.99821186066,140000.00059604645,2210000.0381469727,0,39999.99910593033
Afghanistan,AFG,2018,14850000.381469727,150000.00596046448,3529999.9713897705,1080000.0429153442,910000.0262260437,4929999.828338623,119999.99731779099,39999.99910593033,2220000.0286102295,0,39999.99910593033
Afghanistan,AFG,2019,15539999.961853027,150000.00596046448,3609999.895095825,1210000.0381469727,930000.0071525574,4940000.057220459,119999.99731779099,50000.00074505806,2230000.0190734863,0,39999.99910593033
Africa,,1990,584679992.6757812,609669982.9101562,112129997.25341797,34069999.69482422,115389999.38964844,112069999.69482422,242029998.77929688,86980003.3569336,260730010.98632812,8300000.190734863,27350000.381469727
Africa,,1991,593219970.703125,609669982.9101562,116830001.83105469,36380001.068115234,108620002.74658203,117480003.3569336,247849990.84472656,89669998.16894531,285500000,8960000.038146973,27659999.84741211
Africa,,1992,601109985.3515625,609669982.9101562,121510002.13623047,37610000.61035156,105419998.16894531,123650001.5258789,253639999.38964844,92190002.44140625,282540008.5449219,9079999.923706055,29780000.686645508
Africa,,1993,602150024.4140625,609660034.1796875,126300003.05175781,37939998.626708984,97690002.44140625,122730003.3569336,265989990.234375,96120002.74658203,296619995.1171875,11369999.885559082,29799999.237060547
Africa,,1994,610960021.9726562,609660034.1796875,134050003.05175781,95139999.38964844,89569999.69482422,124369995.1171875,271709991.4550781,97470001.22070312,310709991.4550781,12689999.5803833,35430000.30517578
Africa,,1995,621429992.6757812,610190002.4414062,128750000,97669998.16894531,92659996.03271484,133430007.93457031,285109985.3515625,99019996.6430664,335239990.234375,13869999.885559082,37200000.76293945
Africa,,1996,636460021.9726562,589359985.3515625,123729995.72753906,99849998.4741211,100669998.16894531,139119995.1171875,292070007.32421875,100989997.86376953,364709991.4550781,13869999.885559082,40669998.16894531
Africa,,1997,645239990.234375,598460021.9726562,119150001.5258789,102220001.22070312,105309997.55859375,148149993.89648438,308029998.7792969,104349998.4741211,352559997.55859375,13439999.5803833,37920001.98364258
Africa,,1998,681429992.6757812,630070007.3242188,114309997.55859375,104270004.27246094,106459999.08447266,148639999.38964844,321589996.3378906,105360000.61035156,344829986.5722656,14929999.351501465,36869998.931884766
Africa,,1999,685309997.5585938,625289978.0273438,109290000.91552734,106919998.16894531,103330001.83105469,156910003.66210938,318619995.1171875,107110000.61035156,338790008.5449219,13190000.534057617,42259998.3215332
Africa,,2000,696260009.765625,597549987.7929688,104400001.5258789,109660003.66210938,102319999.69482422,161569992.0654297,326540008.5449219,108540000.91552734,358959991.4550781,13380000.114440918,41259998.3215332
Africa,,2001,683989990.234375,655700012.2070312,105099998.4741211,112089996.33789062,106660003.66210938,169199996.9482422,372769989.0136719,115349998.4741211,355230010.9863281,12519999.504089355,38650001.525878906
Africa,,2002,712140014.6484375,655690002.4414062,110000000,115590003.96728516,109900001.5258789,177830001.8310547,384109985.3515625,120839996.33789062,335250000,11899999.618530273,36650001.525878906
Africa,,2003,737109985.3515625,680399963.3789062,112909996.03271484,116910003.66210938,114290000.91552734,188729995.72753906,402220001.2207031,124680000.30517578,366459991.4550781,12130000.114440918,39610000.61035156
Africa,,2004,744270019.53125,670679992.6757812,115800003.05175781,120680000.30517578,118910003.66210938,196339996.33789062,434380004.8828125,129169998.16894531,376000000,14159999.84741211,37479999.54223633
Africa,,2005,779140014.6484375,686760009.765625,118589996.33789062,125449996.94824219,135520004.27246094,200800003.0517578,437760009.765625,134860000.61035156,387779998.7792969,18680000.30517578,37310001.373291016
Africa,,2006,768940002.4414062,676200012.2070312,122129997.25341797,133380004.8828125,135669998.1689453,205569992.0654297,446419982.91015625,138199996.9482422,383660003.6621094,21629999.1607666,36599998.474121094
Africa,,2007,809600036.6210938,681929992.6757812,125650001.5258789,140589996.33789062,136040008.54492188,215970001.22070312,460570007.32421875,147000000,375660003.6621094,23180000.30517578,38549999.23706055
Africa,,2008,830500000,685919982.9101562,129220001.22070312,146940002.44140625,136479995.72753906,229320007.32421875,498670013.4277344,154139999.38964844,379920013.4277344,22840000.15258789,40400001.525878906
Africa,,2009,822770019.53125,675390014.6484375,132750000,157350006.10351562,146949996.9482422,239430007.9345703,466010009.765625,156520004.27246094,360290008.5449219,26469999.313354492,37790000.915527344
Africa,,2010,858710021.9726562,692640014.6484375,136320007.32421875,162830001.8310547,141479995.72753906,260799987.79296875,519559997.55859375,139199996.9482422,374350006.1035156,29850000.381469727,41670001.98364258
Africa,,2011,881849975.5859375,656929992.6757812,139729995.72753906,166389999.38964844,141190002.44140625,270010009.765625,510590026.85546875,145100006.10351562,317239990.234375,31049999.237060547,40990001.6784668
Africa,,2012,894609985.3515625,659619995.1171875,143089996.33789062,174740005.49316406,136979995.72753906,292790008.5449219,539630004.8828125,159570007.32421875,345529998.7792969,32590000.15258789,43110000.61035156
Africa,,2013,899590026.8554688,653630004.8828125,146540008.54492188,180869995.1171875,146830001.8310547,316260009.765625,545340026.8554688,164250000,320299987.79296875,30360000.610351562,41029998.779296875
Africa,,2014,905909973.1445312,649909973.1445312,149929992.67578125,188509994.50683594,148089996.33789062,328959991.4550781,572109985.3515625,167839996.33789062,309890014.6484375,30060001.373291016,40900001.525878906
Africa,,2015,922470031.7382812,659229980.46875,153350006.10351562,195400009.15527344,143080001.8310547,334209991.4550781,565580017.0898438,167800003.0517578,308730010.9863281,29250000,41220001.220703125
Africa,,2016,954119995.1171875,703669982.9101562,156960006.7138672,205160003.66210938,144399993.89648438,349470001.2207031,568539978.0273438,167190002.44140625,306769989.0136719,24610000.610351562,38709999.084472656
Africa,,2017,958779968.2617188,699700012.2070312,160619995.1171875,209940002.44140625,148580001.8310547,351779998.7792969,575000000,182639999.38964844,326160003.6621094,27309999.465942383,37520000.45776367
Africa,,2018,968380004.8828125,690390014.6484375,164279998.77929688,218229995.72753906,157180007.9345703,355839996.3378906,579799987.7929688,188949996.9482422,334309997.55859375,28030000.686645508,42380001.068115234
Africa,,2019,978839965.8203125,687320007.3242188,167860000.61035156,222539993.2861328,159509994.50683594,364660003.6621094,598539978.0273438,192500000,339800018.3105469,30729999.542236328,40849998.474121094
Albania,ALB,1990,3549999.952316284,200000.00298023224,899999.9761581421,439999.9976158142,2150000.0953674316,720000.0286102295,730000.0190734863,439999.9976158142,330000.01311302185,1820000.0524520874,0
Albania,ALB,1991,3240000.009536743,200000.00298023224,910000.0262260437,360000.01430511475,1419999.9570846558,550000.011920929,540000.0214576721,500000,270000.01072883606,980000.0190734863,0
Albania,ALB,1992,3170000.0762939453,200000.00298023224,910000.0262260437,170000.00178813934,759999.9904632568,419999.98688697815,400000.0059604645,419999.98688697815,200000.00298023224,289999.99165534973,0
Albania,ALB,1993,3390000.104904175,200000.00298023224,910000.0262260437,150000.00596046448,540000.0214576721,519999.9809265137,529999.9713897705,300000.01192092896,140000.00059604645,230000.00417232513,0
Albania,ALB,1994,4280000.20980835,200000.00298023224,920000.0166893005,90000.00357627869,469999.9988079071,649999.9761581421,610000.0143051147,280000.0011920929,79999.99821186066,170000.00178813934,0
Albania,ALB,1995,4349999.904632568,200000.00298023224,920000.0166893005,109999.99940395355,490000.00953674316,649999.9761581421,400000.0059604645,360000.01430511475,9999.999776482582,79999.99821186066,0
Albania,ALB,1996,4019999.9809265137,200000.00298023224,930000.0071525574,129999.99523162842,460000.00834465027,639999.9856948853,330000.01311302185,449999.98807907104,9999.999776482582,119999.99731779099,0
Albania,ALB,1997,3750000,219999.9988079071,930000.0071525574,109999.99940395355,239999.99463558197,509999.99046325684,319999.9928474426,439999.9976158142,9999.999776482582,39999.99910593033,0
Albania,ALB,1998,3650000.0953674316,209999.99344348907,939999.9976158142,119999.99731779099,400000.0059604645,759999.9904632568,330000.01311302185,340000.0035762787,9999.999776482582,50000.00074505806,0
Albania,ALB,1999,3660000.0858306885,200000.00298023224,949999.988079071,150000.00596046448,490000.00953674316,1440000.057220459,289999.99165534973,300000.01192092896,9999.999776482582,529999.9713897705,109999.99940395355
Albania,ALB,2000,3769999.9809265137,259999.99046325684,959999.9785423279,200000.00298023224,479999.98927116394,1509999.9904632568,379999.9952316284,310000.0023841858,0,529999.9713897705,119999.99731779099
Albania,ALB,2001,3660000.0858306885,-1120000.0047683716,959999.9785423279,129999.99523162842,540000.0214576721,1590000.033378601,349999.9940395355,330000.01311302185,9999.999776482582,540000.0214576721,129999.99523162842
Albania,ALB,2002,3740000.009536743,-1120000.0047683716,959999.9785423279,140000.00059604645,430000.0071525574,1820000.0524520874,389999.98569488525,709999.9785423279,9999.999776482582,560000.0023841858,129999.99523162842
Albania,ALB,2003,3789999.9618530273,-1120000.0047683716,970000.0286102295,379999.9952316284,509999.99046325684,1970000.0286102295,360000.01430511475,509999.99046325684,9999.999776482582,600000.0238418579,150000.00596046448
Albania,ALB,2004,3640000.104904175,-1120000.0047683716,970000.0286102295,379999.9952316284,550000.011920929,2359999.895095825,280000.0011920929,479999.98927116394,9999.999776482582,490000.00953674316,150000.00596046448
Albania,ALB,2005,3630000.114440918,-1120000.0047683716,980000.0190734863,349999.9940395355,449999.98807907104,2440000.057220459,300000.01192092896,449999.98807907104,9999.999776482582,349999.9940395355,180000.00715255737
Albania,ALB,2006,3529999.9713897705,-1120000.0047683716,970000.0286102295,400000.0059604645,680000.0071525574,1970000.0286102295,270000.01072883606,490000.00953674316,9999.999776482582,540000.0214576721,140000.00059604645
Albania,ALB,2007,3400000.0953674316,-1110000.0143051147,970000.0286102295,569999.9928474426,639999.9856948853,2150000.0953674316,330000.01311302185,349999.9940395355,0,449999.98807907104,59999.99865889549
Albania,ALB,2008,3160000.0858306885,-1120000.0047683716,970000.0286102295,610000.0143051147,500000,2339999.9141693115,280000.0011920929,409999.9964237213,0,319999.9928474426,79999.99821186066
Albania,ALB,2009,3059999.942779541,-1120000.0047683716,959999.9785423279,709999.9785423279,779999.9713897705,2359999.895095825,129999.99523162842,439999.9976158142,0,200000.00298023224,59999.99865889549
Albania,ALB,2010,3059999.942779541,-1120000.0047683716,959999.9785423279,810000.0023841858,1039999.9618530273,2289999.9618530273,100000.00149011612,400000.0059604645,0,250000,50000.00074505806
Albania,ALB,2011,3079999.9237060547,-839999.9737739563,959999.9785423279,1000000,1120000.0047683716,2400000.0953674316,119999.99731779099,389999.98569488525,0,250000,59999.99865889549
Albania,ALB,2012,3130000.114440918,-839999.9737739563,959999.9785423279,1169999.9570846558,649999.9761581421,2309999.942779541,100000.00149011612,319999.9928474426,0,250000,59999.99865889549
Albania,ALB,2013,3089999.9141693115,-839999.9737739563,970000.0286102295,1080000.0429153442,589999.9737739563,2509999.990463257,50000.00074505806,389999.98569488525,0,250000,129999.99523162842
Albania,ALB,2014,3130000.114440918,-839999.9737739563,970000.0286102295,990000.0095367432,920000.0166893005,2529999.9713897705,119999.99731779099,419999.98688697815,0,280000.0011920929,90000.00357627869
Albania,ALB,2015,3190000.057220459,-839999.9737739563,970000.0286102295,1090000.033378601,680000.0071525574,2500000,79999.99821186066,449999.98807907104,0,259999.99046325684,70000.00029802322
Albania,ALB,2016,3210000.0381469727,-239999.99463558197,980000.0190734863,1070000.0524520874,610000.0143051147,2369999.885559082,119999.99731779099,460000.00834465027,0,270000.01072883606,129999.99523162842
Albania,ALB,2017,3130000.114440918,-230000.00417232513,980000.0190734863,1049999.9523162842,1070000.0524520874,2380000.114440918,230000.00417232513,509999.99046325684,0,300000.01192092896,140000.00059604645
Albania,ALB,2018,2970000.0286102295,-239999.99463558197,980000.0190734863,1029999.9713897705,1220000.0286102295,2279999.9713897705,140000.00059604645,519999.9809265137,0,300000.01192092896,119999.99731779099
Albania,ALB,2019,2819999.933242798,-239999.99463558197,990000.0095367432,1009999.9904632568,899999.9761581421,2259999.990463257,189999.9976158142,529999.9713897705,0,300000.01192092896,159999.9964237213
Algeria,DZA,1990,7869999.885559082,660000.0262260437,4880000.114440918,4050000.1907348633,5690000.057220459,16190000.534057617,23129999.1607666,6610000.133514404,52340000.15258789,0,2500000
Algeria,DZA,1991,7619999.885559082,660000.0262260437,5050000.190734863,3859999.895095825,6239999.771118164,17280000.686645508,24110000.610351562,7559999.942779541,53200000.76293945,0,2180000.066757202
Algeria,DZA,1992,7940000.057220459,660000.0262260437,5210000.038146973,3730000.0190734863,6329999.923706055,17200000.762939453,24090000.15258789,7800000.190734863,53569999.69482422,0,2170000.0762939453
Algeria,DZA,1993,8090000.152587891,660000.0262260437,5380000.114440918,3559999.942779541,6250000,17360000.610351562,25309999.465942383,8260000.228881836,60159999.84741211,0,2049999.9523162842
Algeria,DZA,1994,7690000.057220459,660000.0262260437,5550000.190734863,3230000.0190734863,5980000.019073486,15890000.343322754,24979999.542236328,8199999.809265137,64779998.779296875,0,2109999.895095825
Algeria,DZA,1995,7599999.904632568,660000.0262260437,6289999.961853027,3579999.9237060547,6280000.20980835,15460000.038146973,25899999.618530273,8119999.885559082,70019996.6430664,0,2170000.0762939453
Algeria,DZA,1996,7710000.038146973,670000.0166893005,7030000.20980835,3490000.009536743,5900000.095367432,15310000.4196167,25770000.457763672,8340000.152587891,72760002.13623047,0,2029999.9713897705
Algeria,DZA,1997,7559999.942779541,649999.9761581421,7769999.980926514,3819999.933242798,5309999.942779541,15350000.381469727,27739999.771118164,8010000.228881836,70680000.30517578,0,1909999.966621399
Algeria,DZA,1998,8340000.152587891,649999.9761581421,8510000.228881836,4070000.171661377,5670000.076293945,15810000.4196167,27799999.237060547,8659999.84741211,69639999.38964844,0,1789999.9618530273
Algeria,DZA,1999,8460000.038146973,660000.0262260437,9250000,4119999.885559082,6070000.171661377,16829999.923706055,29350000.381469727,9119999.885559082,70760002.13623047,0,1799999.9523162842
Algeria,DZA,2000,8369999.885559082,970000.0286102295,9989999.771118164,4550000.190734863,6179999.828338623,17219999.313354492,29200000.762939453,9359999.656677246,77750000,0,1970000.0286102295
Algeria,DZA,2001,8569999.694824219,-2400000.0953674316,10229999.542236328,4780000.20980835,6269999.980926514,17409999.84741211,30229999.542236328,9560000.4196167,72250000,0,2000000
Algeria,DZA,2002,8210000.038146973,-2380000.114440918,10470000.267028809,5320000.171661377,6630000.114440918,19770000.457763672,32319999.69482422,9930000.305175781,72389999.38964844,0,2190000.057220459
Algeria,DZA,2003,8590000.15258789,-2339999.9141693115,10710000.038146973,5550000.190734863,7030000.20980835,22190000.534057617,32569999.69482422,10720000.267028809,80300003.05175781,0,1909999.966621399
Algeria,DZA,2004,9460000.038146973,-2390000.104904175,10949999.809265137,6659999.847412109,8109999.656677246,22479999.542236328,31780000.686645508,11550000.190734863,79580001.83105469,0,2210000.0381469727
Algeria,DZA,2005,8859999.656677246,-2359999.895095825,11189999.5803833,7679999.828338623,8229999.542236328,24629999.1607666,32639999.389648438,12539999.961853027,82239997.86376953,0,2380000.114440918
Algeria,DZA,2006,9359999.656677246,-2349999.9046325684,11430000.305175781,9000000,8720000.267028809,26110000.610351562,34279998.779296875,12229999.542236328,84720001.22070312,0,2250000
Algeria,DZA,2007,9470000.267028809,-2220000.0286102295,11670000.076293945,9899999.618530273,9739999.771118164,28149999.618530273,33990001.6784668,13649999.618530273,82260002.13623047,0,2250000
Algeria,DZA,2008,9090000.15258789,-2299999.952316284,11909999.84741211,10930000.305175781,10109999.656677246,29770000.457763672,35319999.69482422,13619999.885559082,83599998.4741211,0,2299999.952316284
Algeria,DZA,2009,9970000.267028809,-2380000.114440918,12149999.618530273,12010000.228881836,9869999.885559082,31139999.389648438,36709999.084472656,13520000.457763672,77330001.83105469,3960000.0381469727,2380000.114440918
Algeria,DZA,2010,10520000.457763672,-2400000.0953674316,12390000.343322754,12489999.771118164,10710000.038146973,32389999.389648438,36479999.54223633,13279999.732971191,78029998.77929688,3599999.9046325684,2470000.0286102295
Algeria,DZA,2011,10810000.4196167,-540000.0214576721,12640000.343322754,13050000.190734863,10819999.694824219,34939998.626708984,39349998.474121094,14649999.618530273,75500000,3990000.009536743,2279999.9713897705
Algeria,DZA,2012,11539999.961853027,-439999.9976158142,12899999.618530273,13189999.5803833,10069999.694824219,39470001.220703125,43509998.3215332,16840000.15258789,84349998.4741211,3559999.942779541,2259999.990463257
Algeria,DZA,2013,11810000.4196167,-610000.0143051147,13159999.84741211,13409999.84741211,10020000.457763672,41139999.38964844,43009998.3215332,18540000.915527344,84839996.33789062,4150000.0953674316,2470000.0286102295
Algeria,DZA,2014,12409999.84741211,-600000.0238418579,13409999.84741211,14409999.84741211,10260000.228881836,44479999.54223633,47909999.84741211,19260000.228881836,88980003.3569336,2390000.104904175,2309999.942779541
Algeria,DZA,2015,12560000.4196167,-620000.0047683716,13670000.076293945,15430000.305175781,10829999.923706055,47450000.76293945,49819999.69482422,21079999.923706055,89790000.91552734,2509999.990463257,2410000.0858306885
Algeria,DZA,2016,12430000.305175781,239999.99463558197,13939999.5803833,17010000.228881836,10909999.84741211,46209999.084472656,47919998.16894531,21350000.381469727,92919998.16894531,2680000.066757202,2099999.9046325684
Algeria,DZA,2017,12289999.961853027,479999.98927116394,14210000.038146973,18639999.389648438,12050000.190734863,45689998.626708984,48139999.38964844,22459999.084472656,92059997.55859375,3359999.895095825,2089999.9141693115
Algeria,DZA,2018,12340000.15258789,200000.00298023224,14479999.542236328,18959999.084472656,12770000.457763672,46479999.54223633,48610000.61035156,26420000.076293945,93760002.13623047,4230000.019073486,2089999.9141693115
Algeria,DZA,2019,12460000.038146973,219999.9988079071,14739999.771118164,19239999.771118164,13949999.809265137,46639999.38964844,50090000.15258789,27129999.1607666,91980003.3569336,5769999.980926514,1519999.9809265137
Andorra,AND,1990,0,0,19999.999552965164,0,,,,,0,,
Andorra,AND,1991,0,0,29999.999329447746,0,,,,,0,,
Andorra,AND,1992,0,0,29999.999329447746,0,,,,,0,,
Andorra,AND,1993,0,0,29999.999329447746,0,,,,,0,,
Andorra,AND,1994,0,0,29999.999329447746,0,,,,,0,,
Andorra,AND,1995,0,0,29999.999329447746,0,,,,,0,,
Andorra,AND,1996,0,0,29999.999329447746,9999.999776482582,,,,,0,,
Andorra,AND,1997,0,0,29999.999329447746,9999.999776482582,,,,,0,,
Andorra,AND,1998,0,0,29999.999329447746,19999.999552965164,,,,,0,,
Andorra,AND,1999,0,0,29999.999329447746,19999.999552965164,,,,,0,,
Andorra,AND,2000,0,0,29999.999329447746,29999.999329447746,,,,,0,,
Andorra,AND,2001,0,0,39999.99910593033,29999.999329447746,,,,,0,,
Andorra,AND,2002,0,0,39999.99910593033,39999.99910593033,,,,,0,,
Andorra,AND,2003,0,0,39999.99910593033,39999.99910593033,,,,,0,,
Andorra,AND,2004,0,0,39999.99910593033,39999.99910593033,,,,,0,,
Andorra,AND,2005,0,0,39999.99910593033,39999.99910593033,,,,,0,,
Andorra,AND,2006,0,0,50000.00074505806,50000.00074505806,,,,,0,,
Andorra,AND,2007,0,0,50000.00074505806,50000.00074505806,,,,,0,,
Andorra,AND,2008,0,0,50000.00074505806,50000.00074505806,,,,,0,,
Andorra,AND,2009,0,0,50000.00074505806,50000.00074505806,,,,,0,,
Andorra,AND,2010,0,0,50000.00074505806,59999.99865889549,,,,,0,,
Andorra,AND,2011,0,0,50000.00074505806,59999.99865889549,,,,,0,,
Andorra,AND,2012,0,0,50000.00074505806,59999.99865889549,,,,,0,,
Andorra,AND,2013,0,0,50000.00074505806,59999.99865889549,,,,,0,,
Andorra,AND,2014,0,0,50000.00074505806,59999.99865889549,,,,,0,,
Andorra,AND,2015,0,0,50000.00074505806,59999.99865889549,,,,,0,,
Andorra,AND,2016,0,0,50000.00074505806,59999.99865889549,,,,,0,,
Andorra,AND,2017,0,0,50000.00074505806,70000.00029802322,,,,,0,,
Andorra,AND,2018,0,0,50000.00074505806,70000.00029802322,,,,,0,,
Andorra,AND,2019,0,0,50000.00074505806,70000.00029802322,,,,,0,,
Angola,AGO,1990,30139999.389648438,23000000,529999.9713897705,109999.99940395355,1769999.9809265137,1039999.9618530273,479999.98927116394,1700000.0476837158,7349999.904632568,29999.999329447746,1059999.942779541
Angola,AGO,1991,30219999.313354492,23000000,540000.0214576721,119999.99731779099,1639999.9856948853,1289999.9618530273,439999.9976158142,1769999.9809265137,7559999.942779541,19999.999552965164,920000.0166893005
Angola,AGO,1992,30319999.69482422,23000000,560000.0023841858,129999.99523162842,1720000.0286102295,1210000.0381469727,370000.0047683716,1720000.0286102295,8220000.267028809,9999.999776482582,839999.9737739563
Angola,AGO,1993,30190000.534057617,23000000,579999.9833106995,109999.99940395355,2200000.047683716,1240000.0095367432,310000.0023841858,1649999.976158142,10970000.267028809,9999.999776482582,949999.988079071
Angola,AGO,1994,30170000.076293945,23000000,600000.0238418579,109999.99940395355,1639999.9856948853,1580000.0429153442,379999.9952316284,1789999.9618530273,13890000.343322754,9999.999776482582,1350000.023841858
Angola,AGO,1995,30059999.465942383,23000000,620000.0047683716,100000.00149011612,1809999.942779541,1100000.023841858,379999.9952316284,1840000.033378601,17409999.84741211,9999.999776482582,1220000.0286102295
Angola,AGO,1996,27190000.534057617,26850000.381469727,639999.9856948853,140000.00059604645,1899999.976158142,1009999.9904632568,409999.9964237213,2099999.9046325684,21290000.915527344,9999.999776482582,1059999.942779541
Angola,AGO,1997,26819999.69482422,25059999.465942383,660000.0262260437,159999.9964237213,1750000,1080000.0429153442,629999.9952316284,2109999.895095825,22239999.771118164,0,1070000.0524520874
Angola,AGO,1998,29659999.84741211,30219999.313354492,689999.9976158142,189999.9976158142,1309999.942779541,850000.0238418579,589999.9737739563,2210000.0381469727,24180000.30517578,19999.999552965164,689999.9976158142
Angola,AGO,1999,27500000,28870000.8392334,709999.9785423279,140000.00059604645,1490000.0095367432,1179999.9475479126,850000.0238418579,2470000.0286102295,24280000.686645508,9999.999776482582,1200000.0476837158
Angola,AGO,2000,28350000.381469727,23690000.534057617,730000.0190734863,150000.00596046448,1580000.0429153442,1100000.023841858,939999.9976158142,2279999.9713897705,22510000.228881836,0,1440000.057220459
Angola,AGO,2001,28969999.313354492,43759998.3215332,800000.011920929,289999.99165534973,1629999.9952316284,1230000.0190734863,1039999.9618530273,2420000.0762939453,21370000.8392334,0,1559999.942779541
Angola,AGO,2002,31180000.30517578,44959999.084472656,870000.0047683716,310000.0023841858,1789999.9618530273,1519999.9809265137,1049999.9523162842,2450000.047683716,21030000.686645508,9999.999776482582,1340000.033378601
